Model,Model_Key,Model_Type,Full_Formula,Train_Formula,Full_SSE,Full_MSE,Full_RMSE,Full_MAE,Full_Mean_Error,Full_Max_Absolute_Error,Full_R2,Full_Adjusted_R2,Full_AIC,Full_BIC,Train_SSE,Train_MSE,Train_RMSE,Train_MAE,Train_Mean_Error,Train_Max_Absolute_Error,Train_R2,Train_Adjusted_R2,Train_AIC,Train_BIC,Test_SSE,Test_MSE,Test_RMSE,Test_MAE,Test_Mean_Error,Test_Max_Absolute_Error,Test_R2,Test_Adjusted_R2,Test_AIC,Test_BIC
Quadratic time trend,quadratic_time,polynomial_time,"Temperature change from 1951-1980 base period = polynomial degree 2 in t, t = year - 1958","Temperature change from 1951-1980 base period = polynomial degree 2 in t, t = year - 1958",0.5444466079753579,0.008506978249614968,0.09223328168082803,0.0805395593989344,-4.683753385137379e-17,0.19661107642357642,0.9180549333415575,0.9153682098445595,-299.0795828323146,-292.6029335822356,0.4583688008846499,0.008488311127493516,0.09213203095283158,0.07955956862455815,-4.214735556447354e-17,0.1954837028799294,0.8659892006602508,0.8607338751959469,-251.52952206141248,-245.56256992171964,0.08736917991246064,0.008736917991246065,0.09347148223520405,0.08392625571493495,-0.014867576867576716,0.15480929552627665,0.4534302163749725,0.297267421053536,-41.40197784084724,-40.4942225618651
Quartic time trend,quartic_time,polynomial_time,"Temperature change from 1951-1980 base period = polynomial degree 4 in t, t = year - 1958","Temperature change from 1951-1980 base period = polynomial degree 4 in t, t = year - 1958",0.48938501141271384,0.007646640803323654,0.0874450730648883,0.07474094922579261,-9.848892534858322e-16,0.18211950410321265,0.9263422954713816,0.9213485527914752,-301.9032856484905,-291.10887023169215,0.39653553293113963,0.0073432506098359196,0.08569276871379475,0.07309878631084954,-3.865220900546841e-16,0.16569768215831876,0.8840670577226124,0.8746031440673154,-255.3545782888017,-245.40965805598032,0.09474588442055673,0.009474588442055672,0.09733749761554214,0.08199991621231886,0.0026648488533762005,0.18384044432227187,0.40728254976192224,-0.06689141042853985,-36.59141965151677,-35.07849418654654
Shifted exponential time trend,shifted_exp_time,shifted_exp_time,"Temperature change from 1951-1980 base period = A * exp(B * t) - shift, t = year - 1958","Temperature change from 1951-1980 base period = A * exp(B * t) - shift, t = year - 1958",0.6075396458856976,0.009492806966964026,0.097431036979825,0.08147943105007781,0.00904053924764433,0.21850259266655192,0.9085587529603945,0.9055606792869648,-292.06213942651493,-285.58549017643594,0.4924641615653972,0.009119706695655504,0.09549715543227193,0.08121848159890453,0.011341052377584803,0.18478095957770468,0.856020925049464,0.8503746868161097,-247.655152342766,-241.68820020307317,0.17983382054185093,0.017983382054185093,0.13410213292183348,0.11141881771718949,-0.09490637890412534,0.2806272274755889,-0.12501608096247074,-0.44644924695174804,-34.18307166727247,-33.275316388290335
