Model,Model_Key,Model_Type,Full_Formula,Train_Formula,Full_SSE,Full_MSE,Full_RMSE,Full_MAE,Full_Mean_Error,Full_Max_Absolute_Error,Full_R2,Full_Adjusted_R2,Full_AIC,Full_BIC,Train_SSE,Train_MSE,Train_RMSE,Train_MAE,Train_Mean_Error,Train_Max_Absolute_Error,Train_R2,Train_Adjusted_R2,Train_AIC,Train_BIC,Test_SSE,Test_MSE,Test_RMSE,Test_MAE,Test_Mean_Error,Test_Max_Absolute_Error,Test_R2,Test_Adjusted_R2,Test_AIC,Test_BIC
Quadratic centered CO2,quadratic_centered_co2,polynomial_centered_co2,Temperature change from 1951-1980 base period = polynomial degree 2 in (CO2 - 357.3386),Temperature change from 1951-1980 base period = polynomial degree 2 in (CO2 - 348.2919),0.49739328042163117,0.007895131435263986,0.08885455213585844,0.0785213929002803,-3.3879424838759735e-16,0.18603998065453273,0.9241850447146835,0.9216578795385063,-299.0150659605797,-292.5856617814051,0.4154199831708882,0.007838112890016758,0.08853311747598612,0.07791062619643069,-2.09476042382105e-16,0.18678325056704612,0.8771916154823809,0.8722792801016761,-250.98413034906088,-245.0732546084045,0.08262645492834975,0.008262645492834975,0.09089909511560043,0.08274817774300913,0.005754954234021725,0.16987311934461768,0.483100063006883,0.3354143667231353,-41.96010465144241,-41.05234937246027
Linear CO2,linear_co2,linear_co2,Temperature change from 1951-1980 base period = a * CO2 + b,Temperature change from 1951-1980 base period = a * CO2 + b,0.4977361993947939,0.007900574593568157,0.08888517645574068,0.07861267715037128,6.361754156979072e-16,0.18596401561626755,0.9241327754387602,0.9228890504459529,-300.9716466938359,-296.68537724105283,0.4154199834695631,0.007838112895652134,0.08853311750781248,0.0779107346729433,1.9900224026299976e-16,0.18678401604068054,0.8771916153940853,0.8747836078527929,-252.98413031095544,-249.0435464838512,0.08262876036954368,0.008262876036954369,0.09090036323884723,0.08274935970304875,0.005767526623071029,0.169884934734714,0.4830856404783004,0.41847134553808796,-43.95982563559532,-43.35465544960723
Radiative forcing proxy log2(CO2/280),log2_co2_280,log2_co2_280,Temperature change from 1951-1980 base period = a * log2(CO2 / 280) + b,Temperature change from 1951-1980 base period = a * log2(CO2 / 280) + b,0.509746315113772,0.008091211351012253,0.08995116092087002,0.07933761906832683,-3.603819183108643e-16,0.18651994563281563,0.9223021387533712,0.9210284033230985,-299.46953995962053,-295.18327050683746,0.4183482274437922,0.007893362781958343,0.08884459905902183,0.07828685189975207,-2.0214438089873132e-16,0.18938695499763328,0.8763259543124887,0.8739009730244983,-252.61185042140573,-248.6712665943015,0.10098778573298806,0.010098778573298805,0.10049267920251109,0.08577245793641045,0.03922727013965936,0.201540453247251,0.3682340585987609,0.289263315923606,-41.953407957847006,-41.34823777185891
