Model,Model_Key,Fit_Stage,Year,Forecast_Temperature_Change_From_1951_1980_C,Reference_Year,Reference_Temperature_Change_From_1951_1980_C,Forecast_Additional_Change_From_Last_Observed_Year_C
Quadratic time trend,quadratic_time,full_data,2078,3.109166895604396,2021,0.84,2.269166895604396
Quadratic time trend,quadratic_time,full_data,2079,3.1566551573426582,2021,0.84,2.3166551573426584
Quadratic time trend,quadratic_time,full_data,2080,3.2044920288045295,2021,0.84,2.3644920288045297
Quadratic time trend,quadratic_time,full_data,2081,3.252677509990011,2021,0.84,2.412677509990011
Quadratic time trend,quadratic_time,full_data,2082,3.3012116008991015,2021,0.84,2.4612116008991016
Quadratic time trend,quadratic_time,full_data,2083,3.3500943015318025,2021,0.84,2.5100943015318027
Quadratic time trend,quadratic_time,full_data,2084,3.3993256118881128,2021,0.84,2.559325611888113
Quadratic time trend,quadratic_time,full_data,2085,3.448905531968033,2021,0.84,2.608905531968033
Quadratic time trend,quadratic_time,full_data,2086,3.4988340617715625,2021,0.84,2.6588340617715627
Quadratic time trend,quadratic_time,full_data,2087,3.549111201298702,2021,0.84,2.709111201298702
Quadratic time trend,quadratic_time,full_data,2088,3.599736950549451,2021,0.84,2.7597369505494513
Quadratic time trend,quadratic_time,full_data,2089,3.65071130952381,2021,0.84,2.81071130952381
Quadratic time trend,quadratic_time,full_data,2090,3.702034278221779,2021,0.84,2.8620342782217794
Quadratic time trend,quadratic_time,full_data,2091,3.753705856643357,2021,0.84,2.9137058566433574
Quadratic time trend,quadratic_time,full_data,2092,3.8057260447885457,2021,0.84,2.965726044788546
Quadratic time trend,quadratic_time,full_data,2093,3.8580948426573434,2021,0.84,3.0180948426573435
Quadratic time trend,quadratic_time,full_data,2094,3.910812250249751,2021,0.84,3.0708122502497512
Quadratic time trend,quadratic_time,full_data,2095,3.9638782675657684,2021,0.84,3.1238782675657686
Quadratic time trend,quadratic_time,full_data,2096,4.017292894605395,2021,0.84,3.1772928946053955
Quadratic time trend,quadratic_time,full_data,2097,4.071056131368632,2021,0.84,3.231056131368632
Quadratic time trend,quadratic_time,full_data,2098,4.125167977855478,2021,0.84,3.285167977855478
Quadratic time trend,quadratic_time,full_data,2099,4.179628434065934,2021,0.84,3.3396284340659346
Quadratic time trend,quadratic_time,full_data,2100,4.2344375,2021,0.84,3.3944375000000004
Quadratic time trend,quadratic_time,full_data,2101,4.289595175657676,2021,0.84,3.4495951756576764
Quadratic time trend,quadratic_time,full_data,2102,4.345101461038961,2021,0.84,3.5051014610389615
Quadratic time trend,quadratic_time,full_data,2103,4.4009563561438565,2021,0.84,3.5609563561438566
Quadratic time trend,quadratic_time,full_data,2104,4.457159860972362,2021,0.84,3.617159860972362
Quadratic time trend,quadratic_time,full_data,2105,4.513711975524476,2021,0.84,3.6737119755244763
Quadratic time trend,quadratic_time,full_data,2106,4.570612699800201,2021,0.84,3.7306126998002007
Quadratic time trend,quadratic_time,full_data,2107,4.627862033799534,2021,0.84,3.7878620337995343
Quadratic time trend,quadratic_time,full_data,2108,4.685459977522478,2021,0.84,3.845459977522478
Quadratic time trend,quadratic_time,full_data,2109,4.743406530969032,2021,0.84,3.903406530969032
