Model,Model_Key,Fit_Stage,Year,Observed_CO2,Fitted_CO2,Residual,Absolute_Residual
Cubic,cubic,full_data,1959,315.98,315.0535677516929,0.9264322483070941,0.9264322483070941
Cubic,cubic,full_data,1960,316.91,315.9628772929581,0.947122707041899,0.947122707041899
Cubic,cubic,full_data,1961,317.64,316.8908383992544,0.7491616007455946,0.7491616007455946
Cubic,cubic,full_data,1962,318.45,317.8376985274554,0.6123014725445728,0.6123014725445728
Cubic,cubic,full_data,1963,318.99,318.8037051344347,0.18629486556528718,0.18629486556528718
Cubic,cubic,full_data,1964,319.62,319.7891056770659,-0.16910567706588608,0.16910567706588608
Cubic,cubic,full_data,1965,320.04,320.7941476122225,-0.7541476122224822,0.7541476122224822
Cubic,cubic,full_data,1966,321.37,321.8190783967782,-0.44907839677819084,0.44907839677819084
Cubic,cubic,full_data,1967,322.18,322.86414548760644,-0.684145487606429,0.684145487606429
Cubic,cubic,full_data,1968,323.05,323.92959634158086,-0.8795963415808501,0.8795963415808501
Cubic,cubic,full_data,1969,324.62,325.0156784155751,-0.3956784155751052,0.3956784155751052
Cubic,cubic,full_data,1970,325.68,326.12263916646265,-0.4426391664626408,0.4426391664626408
Cubic,cubic,full_data,1971,326.32,327.25072605111717,-0.9307260511171762,0.9307260511171762
Cubic,cubic,full_data,1972,327.46,328.4001865264122,-0.9401865264122193,0.9401865264122193
Cubic,cubic,full_data,1973,329.68,329.5712680492213,0.10873195077869013,0.10873195077869013
Cubic,cubic,full_data,1974,330.19,330.7642180764181,-0.5742180764181057,0.5742180764181057
Cubic,cubic,full_data,1975,331.13,331.97928406487614,-0.8492840648761444,0.8492840648761444
Cubic,cubic,full_data,1976,332.03,333.216713471469,-1.1867134714690337,1.1867134714690337
Cubic,cubic,full_data,1977,333.84,334.4767537530703,-0.6367537530703089,0.6367537530703089
Cubic,cubic,full_data,1978,335.41,335.7596523665536,-0.34965236655358467,0.34965236655358467
Cubic,cubic,full_data,1979,336.84,337.06565676879245,-0.22565676879247576,0.22565676879247576
Cubic,cubic,full_data,1980,338.76,338.3950144166605,0.3649855833394895,0.3649855833394895
Cubic,cubic,full_data,1981,340.12,339.7479727670313,0.3720272329687191,0.3720272329687191
Cubic,cubic,full_data,1982,341.48,341.1247792767783,0.3552207232216915,0.3552207232216915
Cubic,cubic,full_data,1983,343.15,342.5256814027753,0.6243185972246579,0.6243185972246579
Cubic,cubic,full_data,1984,344.87,343.9509266018958,0.9190733981042172,0.9190733981042172
Cubic,cubic,full_data,1985,346.35,345.4007623310133,0.9492376689867115,0.9492376689867115
Cubic,cubic,full_data,1986,347.61,346.8754360470015,0.7345639529985419,0.7345639529985419
Cubic,cubic,full_data,1987,349.31,348.3751952067339,0.9348047932660961,0.9348047932660961
Cubic,cubic,full_data,1988,351.69,349.9002872670841,1.7897127329159161,1.7897127329159161
Cubic,cubic,full_data,1989,353.2,351.4509596849257,1.7490403150742964,1.7490403150742964
Cubic,cubic,full_data,1990,354.45,353.0274599171322,1.4225400828677834,1.4225400828677834
Cubic,cubic,full_data,1991,355.7,354.6300354205773,1.069964579422674,1.069964579422674
Cubic,cubic,full_data,1992,356.54,356.2589336521345,0.28106634786553286,0.28106634786553286
Cubic,cubic,full_data,1993,357.21,357.9144020686774,-0.7044020686774388,0.7044020686774388
Cubic,cubic,full_data,1994,358.96,359.59668812707963,-0.6366881270796512,0.6366881270796512
Cubic,cubic,full_data,1995,360.97,361.3060392842147,-0.336039284214678,0.336039284214678
Cubic,cubic,full_data,1996,362.74,363.0427029969562,-0.3027029969562136,0.3027029969562136
Cubic,cubic,full_data,1997,363.88,364.80692672217776,-0.9269267221777682,0.9269267221777682
Cubic,cubic,full_data,1998,366.84,366.59895791675297,0.2410420832470095,0.2410420832470095
Cubic,cubic,full_data,1999,368.54,368.4190440375553,0.12095596244472517,0.12095596244472517
Cubic,cubic,full_data,2000,369.71,370.26743254145845,-0.5574325414584678,0.5574325414584678
Cubic,cubic,full_data,2001,371.32,372.1443708853359,-0.8243708853358953,0.8243708853358953
Cubic,cubic,full_data,2002,373.45,374.0501065260613,-0.6001065260613245,0.6001065260613245
Cubic,cubic,full_data,2003,375.98,375.9848869205082,-0.004886920508170078,0.004886920508170078
Cubic,cubic,full_data,2004,377.7,377.9489595255502,-0.2489595255502195,0.2489595255502195
Cubic,cubic,full_data,2005,379.98,379.94257179806095,0.03742820193906482,0.03742820193906482
Cubic,cubic,full_data,2006,382.09,381.9659711949139,0.12402880508608405,0.12402880508608405
Cubic,cubic,full_data,2007,384.02,384.0194051729826,0.0005948270173803394,0.0005948270173803394
Cubic,cubic,full_data,2008,385.83,386.10312118914084,-0.27312118914085204,0.27312118914085204
Cubic,cubic,full_data,2009,387.64,388.217366700262,-0.5773667002620186,0.5773667002620186
Cubic,cubic,full_data,2010,390.1,390.36238916321975,-0.26238916321972283,0.26238916321972283
Cubic,cubic,full_data,2011,391.85,392.5384360348877,-0.6884360348876726,0.6884360348876726
Cubic,cubic,full_data,2012,394.06,394.7457547721393,-0.6857547721393189,0.6857547721393189
Cubic,cubic,full_data,2013,396.74,396.9845928318483,-0.24459283184830838,0.24459283184830838
Cubic,cubic,full_data,2014,398.81,399.2551976708882,-0.4451976708882057,0.4451976708882057
Cubic,cubic,full_data,2015,401.01,401.5578167461326,-0.5478167461325825,0.5478167461325825
Cubic,cubic,full_data,2016,404.41,403.892697514455,0.5173024855450308,0.5173024855450308
Cubic,cubic,full_data,2017,406.76,406.26008743272905,0.4999125672709397,0.4999125672709397
Cubic,cubic,full_data,2018,408.72,408.6602339578283,0.05976604217170234,0.05976604217170234
Cubic,cubic,full_data,2019,411.66,411.0933845466264,0.566615453373629,0.566615453373629
Cubic,cubic,full_data,2020,414.24,413.55978665599685,0.6802133440031639,0.6802133440031639
Cubic,cubic,full_data,2021,416.45,416.05968774281325,0.3903122571867357,0.3903122571867357
Cubic,cubic,training_data,1959,315.98,315.5572670097198,0.42273299028022393,0.42273299028022393
