Model,Model_Source,Year,Forecast_CO2_ppm
Quadratic,annual_full_data,2138,877.4811730715961
Quadratic,annual_full_data,2139,882.9673869488303
Quadratic,annual_full_data,2140,888.4796760973029
Quadratic,annual_full_data,2141,894.0180405170142
Quadratic,annual_full_data,2142,899.582480207964
Quadratic,annual_full_data,2143,905.1729951701524
Quadratic,annual_full_data,2144,910.7895854035792
Quadratic,annual_full_data,2145,916.4322509082447
Quadratic,annual_full_data,2146,922.1009916841487
Quadratic,annual_full_data,2147,927.7958077312911
Quadratic,annual_full_data,2148,933.5166990496722
Quadratic,annual_full_data,2149,939.2636656392917
Quadratic,annual_full_data,2150,945.03670750015
Quadratic,annual_full_data,2151,950.8358246322466
Quadratic,annual_full_data,2152,956.661017035582
Quadratic,annual_full_data,2153,962.5122847101557
Quadratic,annual_full_data,2154,968.3896276559681
Quadratic,annual_full_data,2155,974.2930458730189
Quadratic,annual_full_data,2156,980.2225393613082
Quadratic,annual_full_data,2157,986.1781081208362
Quadratic,annual_full_data,2158,992.1597521516027
Quadratic,annual_full_data,2159,998.1674714536078
Quadratic,annual_full_data,2160,1004.2012660268514
Quadratic,annual_full_data,2161,1010.2611358713335
Quadratic,annual_full_data,2162,1016.3470809870543
Quadratic,annual_full_data,2163,1022.4591013740134
Quadratic,annual_full_data,2164,1028.5971970322112
Quadratic,annual_full_data,2165,1034.7613679616475
Quadratic,annual_full_data,2166,1040.9516141623226
Quadratic,annual_full_data,2167,1047.1679356342356
Quadratic,annual_full_data,2168,1053.410332377388
Quadratic,annual_full_data,2169,1059.6788043917782
Quadratic,annual_full_data,2170,1065.9733516774072
Quadratic,annual_full_data,2171,1072.2939742342749
Quadratic,annual_full_data,2172,1078.6406720623809
Quadratic,annual_full_data,2173,1085.0134451617257
Quadratic,annual_full_data,2174,1091.412293532309
Quadratic,annual_full_data,2175,1097.8372171741307
Quadratic,annual_full_data,2176,1104.288216087191
Quadratic,annual_full_data,2177,1110.76529027149
Quadratic,annual_full_data,2178,1117.2684397270273
Quadratic,annual_full_data,2179,1123.797664453803
Quadratic,annual_full_data,2180,1130.3529644518176
Quadratic,annual_full_data,2181,1136.9343397210705
Quadratic,annual_full_data,2182,1143.5417902615623
Quadratic,annual_full_data,2183,1150.1753160732924
Quadratic,annual_full_data,2184,1156.834917156261
Quadratic,annual_full_data,2185,1163.5205935104682
Quadratic,annual_full_data,2186,1170.2323451359139
Quadratic,annual_full_data,2187,1176.9701720325984
Quadratic,annual_full_data,2188,1183.7340742005213
Quadratic,annual_full_data,2189,1190.5240516396825
Quadratic,annual_full_data,2190,1197.3401043500826
Quadratic,annual_full_data,2191,1204.182232331721
Quadratic,annual_full_data,2192,1211.0504355845978
Quadratic,annual_full_data,2193,1217.9447141087135
Quadratic,annual_full_data,2194,1224.8650679040675
Quadratic,annual_full_data,2195,1231.8114969706603
Quadratic,annual_full_data,2196,1238.7840013084915
Quadratic,annual_full_data,2197,1245.782580917561
Quadratic,annual_full_data,2198,1252.8072357978695
Quadratic,annual_full_data,2199,1259.8579659494162
Quadratic,annual_full_data,2200,1266.9347713722018
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2022,418.81166651665467
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2023,421.3759657986603
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2024,423.96223793913174
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2025,426.57523521292757
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2026,429.2179250305838
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2027,431.8890705027257
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2028,434.58901733289014
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2029,437.31768288790636
