Year,Quadratic_Full_Data_Residual,SARIMA_Annualized_Full_Data_Residual
1959,0.4584913003662905,
1960,0.5697509748316065,-3.823142313252049
1961,0.4549353780583374,-0.42651063529677913
1962,0.3940445100465695,-0.03433038282690859
1963,0.03707837079628,-0.05340165727807289
1964,-0.2559630396926309,-0.04664575283533168
1965,-0.7850797214200043,-0.003288782331310358
1966,-0.430271674386006,0.08075121371803107
1967,-0.6215388985904724,0.0014542265250270248
1968,-0.7788813940335331,-0.005161458479221892
1969,-0.2622991607151448,0.06953040837618119
1970,-0.2817921986352871,-0.0012588389814709444
1971,-0.7473605077939283,-0.04722548771610491
1972,-0.7390040881911659,0.06922566614804282
1973,0.3232770601730408,0.06622313398219148
1974,-0.3505170627012717,-0.10805331405396146
1975,-0.6203864568141171,-0.00901554249031733
1976,-0.9563311221655226,-0.07295279955735623
1977,-0.4083510587554997,0.150571394072756
1978,-0.1264462665839119,-0.002955098980578441
1979,-0.0106167456510206,0.06735304983658352
1980,0.5691375040433968,0.04569482545758774
1981,0.5628164824993291,-0.01652818317609217
1982,0.5304201897166649,-0.07417602569370274
1983,0.7819486256954065,0.1292553525954645
1984,1.0574017904356765,-0.00044720534987163774
1985,1.0667796839373975,-0.047617940571626605
1986,0.830082306200552,-0.034274317148515365
1987,1.0073096572251077,0.024191975400754018
1988,1.8384617370111869,0.11008730257958632
1989,1.7735385455586652,-0.08769290775819627
1990,1.4225400828676698,-0.04440659624140153
1991,1.0454663489380778,-0.14566725820947113
1992,0.2323173437700347,-0.16857668838679274
1993,-0.7769069326366775,-0.07004551795802172
1994,-0.7322064802818886,0.07136220432494156
1995,-0.4535812991655916,0.037918731270792705
1996,-0.4410313892879003,-0.01540432044436102
1997,-1.084556750648744,0.002465205699991202
1998,0.0658426167518086,0.20667333678261457
1999,-0.0698332870860554,-0.13702999802416116
2000,-0.7615844621625456,-0.03478766109407161
2001,-1.0394109084775778,-0.05813588506856604
2002,-0.823312626031111,0.10175084618515484
2003,-0.2332896148232066,0.06191554426681023
2004,-0.4793418748538443,-0.0833206887293727
2005,-0.1914694061230193,0.08890582833902272
2006,-0.0996722086308068,-0.04176769947491721
2007,-0.213950282377084,0.018101775563309275
2008,-0.4743036273619054,-0.06416509348588306
2009,-0.7607322435852666,-0.049243336518429714
2010,-0.4232361310471333,0.05540406572634993
2011,-0.821815289747633,-0.035595758878002925
2012,-0.7864697196866359,0.04655422345791749
2013,-0.3071994208642081,0.03575449841946465
2014,-0.4640043932802769,-0.033073041867510256
2015,-0.5168846369349467,0.07360962593895692
2016,0.6041598481718893,0.09528644504422346
2017,0.6491290620401742,-0.03972026796736827
2018,0.278023004669933,-0.016142375769391037
2019,0.8608416760610567,0.02640463279510641
2020,1.0575850762137406,-0.011662871274609188
2021,0.8582532051277667,-0.047009488921219145
