Sigma,Simulation,Model,Model_Key,Model_Family,RMSE,MAE,MAPE,R2,Perturbation_Std_ppm,Test_Comparison_Target,Status,Rank_By_RMSE,Is_Best_By_RMSE
0.5,1,Quartic,quartic,annual_fit,4.802546053262902,4.175263359571545,1.020557196435797,0.5559826289530989,0.5,original_true_test_data,,4.0,False
0.5,1,Exponential,exponential,annual_fit,8.496685789432343,8.154028193371346,2.002099315411263,-0.3898118207727377,0.5,original_true_test_data,,5.0,False
0.5,1,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,1.5462497252026595,1.317499521132015,0.3218003945201013,0.9539726304597289,0.5,original_true_test_data,ok,1.0,True
0.5,15,Quadratic,quadratic,annual_fit,1.5188130015175152,1.2803158654580045,0.3125813451941671,0.9555915620633376,0.5,original_true_test_data,,2.0,False
0.5,15,Cubic,cubic,annual_fit,2.450071995942161,2.1569778238261166,0.5273755787729862,0.884438125555829,0.5,original_true_test_data,,3.0,False
0.5,15,Quartic,quartic,annual_fit,4.340187982882139,3.772031394197472,0.9220254271556101,0.6373614537051875,0.5,original_true_test_data,,4.0,False
0.5,15,Exponential,exponential,annual_fit,8.663812697240408,8.320904010024094,2.043178049959938,-0.4450237804345252,0.5,original_true_test_data,,5.0,False
0.5,15,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,1.1108743299903612,0.9146432069179639,0.22323276486917903,0.9762432653278782,0.5,original_true_test_data,ok,1.0,True
0.5,16,Quadratic,quadratic,annual_fit,1.1906734120839615,0.9696048916842415,0.23654277926580358,0.9727075705367542,0.5,original_true_test_data,,1.0,True
0.5,16,Cubic,cubic,annual_fit,2.7446790779878762,2.399493425285857,0.5864655239757395,0.8549759502748646,0.5,original_true_test_data,,4.0,False
0.5,16,Quartic,quartic,annual_fit,2.642291874982059,2.291854162899091,0.5603776775503659,0.8655940597276415,0.5,original_true_test_data,,3.0,False
0.5,16,Exponential,exponential,annual_fit,8.458080857685314,8.114489461619929,1.992350915975038,-0.3772112130752703,0.5,original_true_test_data,,5.0,False
0.5,16,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,2.4363656921475654,2.20328644200481,0.5393639087108099,0.885727471930199,0.5,original_true_test_data,ok,2.0,False
0.5,23,Quadratic,quadratic,annual_fit,1.5721157257543825,1.3307174241083544,0.32493005740744185,0.952419838843845,0.5,original_true_test_data,,2.0,False
0.5,23,Cubic,cubic,annual_fit,2.366171812725485,2.0844357798111046,0.5096621627368887,0.8922172059133899,0.5,original_true_test_data,,4.0,False
0.5,23,Quartic,quartic,annual_fit,2.105932613609977,1.795547760914161,0.4388356115317469,0.9146220298047573,0.5,original_true_test_data,,3.0,False
0.5,23,Exponential,exponential,annual_fit,8.662777124905505,8.321430626493656,2.0433324781870925,-0.44467835809685785,0.5,original_true_test_data,,5.0,False
0.5,23,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,1.492189350434697,1.2579627144332335,0.3071312024750052,0.9571348096004391,0.5,original_true_test_data,ok,1.0,True
0.5,10,Quadratic,quadratic,annual_fit,1.3590943909617217,1.1304680135043554,0.27590106761489985,0.9644404607552489,0.5,original_true_test_data,,2.0,False
0.5,10,Cubic,cubic,annual_fit,2.6865030310306137,2.3607975202157947,0.5771406852563286,0.8610586371107855,0.5,original_true_test_data,,3.0,False
