Sigma,Model,Model_Key,Model_Family,Successful_Simulations,RMSE_Mean,RMSE_Std,MAE_Mean,MAE_Std,MAPE_Mean,MAPE_Std,R2_Mean,R2_Std,Best_Count,Best_Proportion
0.5,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,2,1.1027709437677233,0.6256789450978534,0.9486221168550202,0.5203611987063893,0.23193496769746555,0.1267688611893067,0.9728204275438398,0.026565851199672665,2,1.0
0.5,Quadratic,quadratic,annual_fit,2,1.6277307813476578,0.2531836931757397,1.3903899792738401,0.24401501805236078,0.33961898518050493,0.059827801801451405,0.948376890727731,0.015867378715095762,0,0.0
0.5,Cubic,cubic,annual_fit,2,2.2917045490188217,0.03981208701858462,2.0141623652033616,0.026635722356862623,0.4924386656395188,0.006417498604730013,0.8988793930831442,0.003512856845316553,0,0.0
0.5,Quartic,quartic,annual_fit,2,3.5824622723779727,1.7254590301567616,3.105077246589741,1.5134717152401953,0.759006688900814,0.3698882750010446,0.7242725705906067,0.23799791787434257,0,0.0
0.5,Exponential,exponential,annual_fit,2,8.59717711075929,0.14211618952152336,8.255112975462461,0.1429554697829454,2.026994609345209,0.0352072623206909,-0.4230755786537581,0.04704205753088677,0,0.0
