Model,Model_Key,Fit_Stage,Target_Temperature_Change_From_1951_1980_C,First_Year_Predicted_Change_At_Least_Target,Forecast_Change_At_First_Year_C
Quartic time trend,quartic_time,full_data,1.25,2027,1.302824977030958
Quartic time trend,quartic_time,full_data,1.5,2030,1.5072398483383358
Quartic time trend,quartic_time,full_data,2.0,2036,2.058216859077484
Quartic time trend,quartic_time,training_data,1.25,2026,1.297833702251092
Quartic time trend,quartic_time,training_data,1.5,2029,1.522563241226338
Quartic time trend,quartic_time,training_data,2.0,2034,2.019100811061256
