Model,Model_Key,Fit_Stage,Year,Forecast_Temperature_Change_From_1951_1980_C,Reference_Year,Reference_Temperature_Change_From_1951_1980_C,Forecast_Additional_Change_From_Last_Observed_Year_C
Shifted exponential time trend,shifted_exp_time,full_data,2074,5.76181557568242,2021,0.84,4.9218155756824205
Shifted exponential time trend,shifted_exp_time,full_data,2075,5.935312631462384,2021,0.84,5.0953126314623844
Shifted exponential time trend,shifted_exp_time,full_data,2076,6.113775398915444,2021,0.84,5.273775398915444
Shifted exponential time trend,shifted_exp_time,full_data,2077,6.297346003176285,2021,0.84,5.457346003176285
Shifted exponential time trend,shifted_exp_time,full_data,2078,6.486170637186034,2021,0.84,5.646170637186034
Shifted exponential time trend,shifted_exp_time,full_data,2079,6.68039967811816,2021,0.84,5.84039967811816
Shifted exponential time trend,shifted_exp_time,full_data,2080,6.880187807136681,2021,0.84,6.0401878071366815
Shifted exponential time trend,shifted_exp_time,full_data,2081,7.085694132581955,2021,0.84,6.2456941325819555
Shifted exponential time trend,shifted_exp_time,full_data,2082,7.297082316682239,2021,0.84,6.457082316682239
Shifted exponential time trend,shifted_exp_time,full_data,2083,7.514520705891898,2021,0.84,6.674520705891898
Shifted exponential time trend,shifted_exp_time,full_data,2084,7.738182464960048,2021,0.84,6.8981824649600485
Shifted exponential time trend,shifted_exp_time,full_data,2085,7.96824571483642,2021,0.84,7.12824571483642
Shifted exponential time trend,shifted_exp_time,full_data,2086,8.204893674524294,2021,0.84,7.3648936745242946
Shifted exponential time trend,shifted_exp_time,full_data,2087,8.448314806993423,2021,0.84,7.608314806993423
Shifted exponential time trend,shifted_exp_time,full_data,2088,8.698702969269172,2021,0.84,7.8587029692691726
Shifted exponential time trend,shifted_exp_time,full_data,2089,8.956257566817431,2021,0.84,8.116257566817431
Shifted exponential time trend,shifted_exp_time,full_data,2090,9.221183712348186,2021,0.84,8.381183712348186
Shifted exponential time trend,shifted_exp_time,full_data,2091,9.493692389164307,2021,0.84,8.653692389164307
Shifted exponential time trend,shifted_exp_time,full_data,2092,9.774000619185538,2021,0.84,8.934000619185538
Shifted exponential time trend,shifted_exp_time,full_data,2093,10.062331635781579,2021,0.84,9.222331635781579
Shifted exponential time trend,shifted_exp_time,full_data,2094,10.358915061551887,2021,0.84,9.518915061551887
Shifted exponential time trend,shifted_exp_time,full_data,2095,10.663987091193734,2021,0.84,9.823987091193734
Shifted exponential time trend,shifted_exp_time,full_data,2096,10.97779067960421,2021,0.84,10.13779067960421
Shifted exponential time trend,shifted_exp_time,full_data,2097,11.300575735365953,2021,0.84,10.460575735365953
Shifted exponential time trend,shifted_exp_time,full_data,2098,11.632599319770682,2021,0.84,10.792599319770682
Shifted exponential time trend,shifted_exp_time,full_data,2099,11.974125851539041,2021,0.84,11.134125851539041
Shifted exponential time trend,shifted_exp_time,full_data,2100,12.325427317399798,2021,0.84,11.485427317399798
Shifted exponential time trend,shifted_exp_time,full_data,2101,12.686783488696088,2021,0.84,11.846783488696088
Shifted exponential time trend,shifted_exp_time,full_data,2102,13.058482144191224,2021,0.84,12.218482144191224
Shifted exponential time trend,shifted_exp_time,full_data,2103,13.440819299251489,2021,0.84,12.600819299251489
Shifted exponential time trend,shifted_exp_time,full_data,2104,13.834099441588428,2021,0.84,12.994099441588428
Shifted exponential time trend,shifted_exp_time,full_data,2105,14.238635773748413,2021,0.84,13.398635773748413
Shifted exponential time trend,shifted_exp_time,full_data,2106,14.654750462542564,2021,0.84,13.814750462542564
Shifted exponential time trend,shifted_exp_time,full_data,2107,15.08277489561567,2021,0.84,14.24277489561567
