Model,Model_Key,Fit_Stage,Year,Observed_CO2,Fitted_CO2,Residual,Absolute_Residual
Quadratic,quadratic,full_data,1959,315.98,315.5215086996337,0.4584913003662905,0.4584913003662905
Quadratic,quadratic,full_data,1960,316.91,316.3402490251684,0.5697509748316065,0.5697509748316065
Quadratic,quadratic,full_data,1961,317.64,317.18506462194165,0.4549353780583374,0.4549353780583374
Quadratic,quadratic,full_data,1962,318.45,318.0559554899534,0.3940445100465695,0.3940445100465695
Quadratic,quadratic,full_data,1963,318.99,318.95292162920373,0.03707837079628007,0.03707837079628007
Quadratic,quadratic,full_data,1964,319.62,319.87596303969264,-0.2559630396926309,0.2559630396926309
Quadratic,quadratic,full_data,1965,320.04,320.82507972142,-0.7850797214200043,0.7850797214200043
Quadratic,quadratic,full_data,1966,321.37,321.800271674386,-0.430271674386006,0.430271674386006
Quadratic,quadratic,full_data,1967,322.18,322.8015388985905,-0.6215388985904724,0.6215388985904724
Quadratic,quadratic,full_data,1968,323.05,323.82888139403354,-0.7788813940335331,0.7788813940335331
Quadratic,quadratic,full_data,1969,324.62,324.88229916071515,-0.2622991607151448,0.2622991607151448
Quadratic,quadratic,full_data,1970,325.68,325.9617921986353,-0.28179219863528715,0.28179219863528715
Quadratic,quadratic,full_data,1971,326.32,327.0673605077939,-0.7473605077939283,0.7473605077939283
Quadratic,quadratic,full_data,1972,327.46,328.19900408819115,-0.7390040881911659,0.7390040881911659
Quadratic,quadratic,full_data,1973,329.68,329.35672293982697,0.3232770601730408,0.3232770601730408
Quadratic,quadratic,full_data,1974,330.19,330.54051706270127,-0.3505170627012717,0.3505170627012717
Quadratic,quadratic,full_data,1975,331.13,331.7503864568141,-0.6203864568141171,0.6203864568141171
Quadratic,quadratic,full_data,1976,332.03,332.9863311221655,-0.9563311221655226,0.9563311221655226
Quadratic,quadratic,full_data,1977,333.84,334.2483510587555,-0.4083510587554997,0.4083510587554997
Quadratic,quadratic,full_data,1978,335.41,335.53644626658394,-0.1264462665839119,0.1264462665839119
Quadratic,quadratic,full_data,1979,336.84,336.850616745651,-0.010616745651020665,0.010616745651020665
Quadratic,quadratic,full_data,1980,338.76,338.1908624959566,0.5691375040433968,0.5691375040433968
Quadratic,quadratic,full_data,1981,340.12,339.5571835175007,0.5628164824993291,0.5628164824993291
Quadratic,quadratic,full_data,1982,341.48,340.94957981028335,0.5304201897166649,0.5304201897166649
Quadratic,quadratic,full_data,1983,343.15,342.36805137430457,0.7819486256954065,0.7819486256954065
Quadratic,quadratic,full_data,1984,344.87,343.8125982095643,1.0574017904356765,1.0574017904356765
Quadratic,quadratic,full_data,1985,346.35,345.2832203160626,1.0667796839373977,1.0667796839373977
Quadratic,quadratic,full_data,1986,347.61,346.77991769379946,0.830082306200552,0.830082306200552
Quadratic,quadratic,full_data,1987,349.31,348.3026903427749,1.0073096572251075,1.0073096572251075
Quadratic,quadratic,full_data,1988,351.69,349.8515382629888,1.8384617370111869,1.8384617370111869
Quadratic,quadratic,full_data,1989,353.2,351.4264614544413,1.7735385455586652,1.7735385455586652
Quadratic,quadratic,full_data,1990,354.45,353.0274599171323,1.4225400828676698,1.4225400828676698
Quadratic,quadratic,full_data,1991,355.7,354.6545336510619,1.0454663489380778,1.0454663489380778
Quadratic,quadratic,full_data,1992,356.54,356.30768265623,0.23231734377003477,0.23231734377003477
Quadratic,quadratic,full_data,1993,357.21,357.98690693263666,-0.7769069326366775,0.7769069326366775
Quadratic,quadratic,full_data,1994,358.96,359.69220648028187,-0.7322064802818886,0.7322064802818886
Quadratic,quadratic,full_data,1995,360.97,361.4235812991656,-0.45358129916559164,0.45358129916559164
Quadratic,quadratic,full_data,1996,362.74,363.1810313892879,-0.4410313892879003,0.4410313892879003
Quadratic,quadratic,full_data,1997,363.88,364.96455675064874,-1.0845567506487441,1.0845567506487441
Quadratic,quadratic,full_data,1998,366.84,366.77415738324817,0.06584261675180869,0.06584261675180869
Quadratic,quadratic,full_data,1999,368.54,368.6098332870861,-0.0698332870860554,0.0698332870860554
Quadratic,quadratic,full_data,2000,369.71,370.4715844621625,-0.7615844621625456,0.7615844621625456
Quadratic,quadratic,full_data,2001,371.32,372.35941090847757,-1.0394109084775778,1.0394109084775778
Quadratic,quadratic,full_data,2002,373.45,374.2733126260311,-0.823312626031111,0.823312626031111
Quadratic,quadratic,full_data,2003,375.98,376.2132896148232,-0.23328961482320665,0.23328961482320665
Quadratic,quadratic,full_data,2004,377.7,378.17934187485383,-0.4793418748538443,0.4793418748538443
Quadratic,quadratic,full_data,2005,379.98,380.17146940612304,-0.19146940612301933,0.19146940612301933
Quadratic,quadratic,full_data,2006,382.09,382.1896722086308,-0.09967220863080684,0.09967220863080684
Quadratic,quadratic,full_data,2007,384.02,384.23395028237707,-0.21395028237708402,0.21395028237708402
Quadratic,quadratic,full_data,2008,385.83,386.3043036273619,-0.47430362736190546,0.47430362736190546
Quadratic,quadratic,full_data,2009,387.64,388.40073224358525,-0.7607322435852666,0.7607322435852666
Quadratic,quadratic,full_data,2010,390.1,390.52323613104716,-0.4232361310471333,0.4232361310471333
Quadratic,quadratic,full_data,2011,391.85,392.67181528974766,-0.821815289747633,0.821815289747633
Quadratic,quadratic,full_data,2012,394.06,394.84646971968664,-0.7864697196866359,0.7864697196866359
Quadratic,quadratic,full_data,2013,396.74,397.0471994208642,-0.30719942086420815,0.30719942086420815
Quadratic,quadratic,full_data,2014,398.81,399.2740043932803,-0.4640043932802769,0.4640043932802769
Quadratic,quadratic,full_data,2015,401.01,401.52688463693494,-0.5168846369349467,0.5168846369349467
Quadratic,quadratic,full_data,2016,404.41,403.80584015182814,0.6041598481718893,0.6041598481718893
Quadratic,quadratic,full_data,2017,406.76,406.1108709379598,0.6491290620401742,0.6491290620401742
Quadratic,quadratic,full_data,2018,408.72,408.4419769953301,0.278023004669933,0.278023004669933
Quadratic,quadratic,full_data,2019,411.66,410.79915832393897,0.8608416760610567,0.8608416760610567
