Model,Model_Key,Model_Type,Polynomial_Degree,Parameter_Count,Full_Formula,Train_Formula,Full_SSE,Full_MSE,Full_RMSE,Full_MAE,Full_MAPE,Full_R2,Full_Adjusted_R2,Train_SSE,Train_MSE,Train_RMSE,Train_MAE,Train_MAPE,Train_R2,Train_Adjusted_R2,Test_SSE,Test_MSE,Test_RMSE,Test_MAE,Test_MAPE,Test_R2,Test_Adjusted_R2
Quadratic,quadratic,polynomial,2.0,3,"CO2 = 0.0130376356 * t^2 + 0.8057026899 * t + 315.5215086996, where t = year - 1959","CO2 = 0.0118480675 * t^2 + 0.8605405502 * t + 315.1360910997, where t = year - 1959",32.663824526361616,0.5184734051803431,0.7200509740152728,0.6136391232131942,0.172121981966412,0.9994086751710017,0.9993889643433684,24.021603893455566,0.4532378093104824,0.6732293883294775,0.558768948170235,0.1627897427601485,0.9991230340285666,0.9990879553897093,26.991988491523905,2.6991988491523906,1.6429238719893233,1.3984076718690575,0.34151964551682285,0.9480372933233594,0.9331908057014621
Cubic,cubic,polynomial,3.0,4,"CO2 = 0.0000412428 * t^3 + 0.0092020541 * t^2 + 0.9000662444 * t + 315.0535677517, where t = year - 1959","CO2 = -0.0000635258 * t^3 + 0.0168030782 * t^2 + 0.7584546245 * t + 315.5572670097, where t = year - 1959",30.27936968563858,0.4806249156450568,0.6932711703547587,0.582056281985144,0.16614563253250877,0.9994518418047744,0.9994239693541698,22.33696886112078,0.42145224266265624,0.6491935325175816,0.5420393857533232,0.1559032642544948,0.9991845356503648,0.9991346092616116,84.39338992521265,8.439338992521265,2.9050540429605203,2.5910406334319305,0.6338272378792031,0.8375329417649882,0.7562994126474822
Quartic,quartic,polynomial,4.0,5,"CO2 = 0.0000061294 * t^4 + -0.0007188051 * t^3 + 0.0393369032 * t^2 + 0.4925176942 * t + 316.2258873724, where t = year - 1959","CO2 = 0.0000107700 * t^4 + -0.0011836054 * t^3 + 0.0540134166 * t^2 + 0.3378647148 * t + 316.5569381000, where t = year - 1959",17.061015345147613,0.27080976738329543,0.5203938579415551,0.40617163471176265,0.11418520627436239,0.999691138373176,0.9996698375713261,13.750247828157356,0.25943863826711994,0.509351193448214,0.41241639477694547,0.1176438208563326,0.999498014391647,0.9994561822576176,87.79261246410357,8.779261246410357,2.9629818167532442,2.5205807187080667,0.6157557628008815,0.8309890443499282,0.6957802798298707
Exponential,exponential,exponential,,2,"CO2 = 309.8386869760 * exp(0.0044917135 * t), where t = year - 1959","CO2 = 311.4110698139 * exp(0.0042236571 * t), where t = year - 1959",525.4017817641426,8.339710821653057,2.887855748068635,2.363305369997411,0.6594426499898566,0.9904884647385267,0.9903325379309615,202.205831375626,3.815204365577849,1.953254813273949,1.6122492655695972,0.46483583443582344,0.9926179936140676,0.992473248390814,736.8995056471192,73.68995056471192,8.58428509339665,8.241772640185616,2.023703046487975,-0.4186169675541713,-0.5959440884984428
